year,cpi
1964,2.969465233
1965,3.221034447
1966,3.68450815
1967,3.581034951
1968,3.623286507
1969,3.770304677
1970,4.344796499
1971,4.257922126
1972,4.615120231
1973,5.142617975
1974,6.161182274
1975,6.628568651
1976,6.422205683
1977,7.057930373
1978,7.576412378
1979,7.84654586
1980,8.998772105
1981,10.00167236
1982,11.17172266
1983,12.55447338
1984,12.91174669
1985,13.95148333
1986,16.60211861
1987,18.38690083
1988,20.03859675
1989,21.81138874
1990,23.60858182
1991,27.28147583
1992,31.96011897
1993,34.35885188
1994,37.22757094
1995,40.06541732
1996,43.75963575
1997,45.51439216
1998,50.63224333
1999,54.40490879
2000,55.75350866
2001,57.25233232
2002,58.98673418
2003,62.3531126
2004,64.12507041
2005,68.50887354
2006,73.24991764
2007,74.91211887
2008,82.3342843
2009,91.46912802
2010,100
2011,109.2270755
2012,119.5597491
2013,130.3681454
2014,141.2723387
2015,152.3889305
2016,165.7844406
2017,171.7976016
2018,178.7745829
2019,188.7299772
2020,198.2653074
2021,206.3702156
